Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Kia EV6 Long Range 2WD,77.4,7.5,185.0,420.0,184.0,980.0,Rear Wheel Drive,5,54990.0,48000.0,Kia,89760.0,2,4,2,2,3,4,5
Kia EV6 Long Range AWD,77.4,5.4,185.0,410.0,189.0,950.0,All Wheel Drive,5,56000.0,52000.0,Kia,97240.0,2,5,2,2,3,4,5
Mercedes EQS 450+,107.8,6.2,210.0,640.0,168.0,840.0,Rear Wheel Drive,5,106374.0,95000.0,Mercedes,177650.0,3,4,4,2,4,3,3
Mercedes EQS 580 4MATIC,107.8,4.3,210.0,610.0,177.0,800.0,All Wheel Drive,5,135529.0,115000.0,Mercedes,215050.0,3,5,3,2,3,3,3
Tesla Model 3 Standard Range Plus,50.0,5.6,225.0,340.0,147.0,680.0,Rear Wheel Drive,5,43560.0,40990.0,Tesla,76651.3,1,5,2,2,4,3,5
Polestar 2 Standard Range Single Motor,61.0,7.4,160.0,350.0,174.0,450.0,Front Wheel Drive,5,46500.0,39900.0,Polestar,74613.0,2,4,2,1,4,2,5
Polestar 2 Long Range Single Motor,75.0,7.4,160.0,425.0,176.0,550.0,Front Wheel Drive,5,49500.0,42900.0,Polestar,80223.0,2,4,2,1,3,2,5
Polestar 2 Long Range Dual Motor,75.0,4.7,205.0,395.0,190.0,510.0,All Wheel Drive,5,52500.0,45900.0,Polestar,85833.0,2,5,2,2,3,2,5
Volkswagen ID.4 Pure,52.0,10.9,160.0,285.0,182.0,410.0,Rear Wheel Drive,5,36950.0,32150.0,Volkswagen,60120.5,1,3,2,1,3,2,5
Audi Q4 e-tron 40,76.6,8.5,160.0,405.0,189.0,500.0,Rear Wheel Drive,5,47500.0,44990.0,Audi,84131.3,2,4,2,1,3,2,5
Audi Q4 e-tron 50 quattro,76.6,6.2,180.0,385.0,199.0,470.0,All Wheel Drive,5,53600.0,51370.0,Audi,96061.90000000001,2,4,2,1,3,2,5
Audi Q4 Sportback e-tron 50 quattro,76.6,6.2,180.0,400.0,192.0,490.0,All Wheel Drive,5,55600.0,52870.0,Audi,98866.90000000001,2,4,2,1,3,2,5
Mercedes EQB 350 4MATIC,66.5,6.5,160.0,340.0,196.0,400.0,All Wheel Drive,7,60000.0,50000.0,Mercedes,93500.0,2,4,2,1,3,2,5
Volkswagen ID.4 GTX,77.0,6.2,180.0,400.0,193.0,490.0,All Wheel Drive,5,50415.0,55540.0,Volkswagen,103859.8,2,4,2,1,3,2,4
Mercedes EQA 300 4MATIC,66.5,7.7,160.0,350.0,190.0,420.0,All Wheel Drive,5,53538.0,,Mercedes,,2,4,2,1,3,2,
Mercedes EQA 350 4MATIC,66.5,6.0,160.0,350.0,190.0,420.0,All Wheel Drive,5,56216.0,,Mercedes,,2,5,2,1,3,2,
Toyota PROACE Verso M 50 kWh,45.0,12.1,130.0,185.0,243.0,250.0,Front Wheel Drive,7,58530.0,,Toyota,,1,3,1,1,2,1,
Toyota PROACE Verso L 50 kWh,45.0,12.1,130.0,180.0,250.0,240.0,Front Wheel Drive,7,59385.0,,Toyota,,1,3,1,1,1,1,
Toyota PROACE Verso M 75 kWh,68.0,13.1,130.0,270.0,252.0,290.0,Front Wheel Drive,7,64530.0,,Toyota,,2,3,2,1,1,2,
Toyota PROACE Verso L 75 kWh,68.0,13.1,130.0,270.0,252.0,290.0,Front Wheel Drive,7,65385.0,,Toyota,,2,3,2,1,1,2,
CUPRA Born 150 kW - 62 kWh,58.0,7.3,160.0,350.0,166.0,440.0,Rear Wheel Drive,5,36770.0,30500.0,CUPRA,57035.0,2,4,2,1,4,2,5
CUPRA Born 170 kW - 62 kWh,58.0,6.6,160.0,345.0,168.0,430.0,Rear Wheel Drive,5,39000.0,31500.0,CUPRA,58905.0,2,4,2,1,4,2,5
CUPRA Born 170 kW - 82 kWh,77.0,7.0,160.0,450.0,171.0,550.0,Rear Wheel Drive,5,43000.0,42000.0,CUPRA,78540.0,2,4,3,1,4,2,5
BMW i4 M50,80.7,3.9,225.0,450.0,179.0,630.0,All Wheel Drive,5,69900.0,63905.0,BMW,119502.35,2,5,3,2,3,3,4
Volvo XC40 Recharge Twin Pure Electric,75.0,4.9,180.0,340.0,221.0,440.0,All Wheel Drive,5,59250.0,49950.0,Volvo,93406.5,2,5,2,1,2,2,5
Renault Megane E-Tech Electric,60.0,8.0,160.0,335.0,179.0,480.0,Front Wheel Drive,5,38000.0,32500.0,Renault,60775.0,2,4,2,1,3,2,5
